POPONE,POPTWO,POPTHREE,DISPONE,DISPTWO,TDIVTWO,MaxEstLhood,MaxObsLhood
2266,2695,1801,0.0041762,0.0067302,5425,-12404.404,-11748.695
1931,2205,1884,0.0039237,0.0071287,4495,-12385.741,-11706.985
2460,2355,2228,0.0031296,0.0043942,4973,-12509.578,-11829.284
2709,2628,2699,0.0024988,0.0049386,4723,-12447.857,-11742.698
1956,2544,1538,0.0045839,0.0068317,4712,-12488.949,-11789.705
2069,2137,1546,0.0039535,0.0069715,4163,-12496.778,-11792.833
2302,2505,2014,0.0035671,0.0049219,5538,-12437.636,-11753.59
2300,2077,2230,0.0040324,0.0052892,5324,-12507.273,-11820.243
2436,2329,2033,0.0031984,0.006386,5630,-12452.167,-11761.94
1979,2217,1986,0.0033221,0.0052572,4025,-12404.749,-11695.347
2580,2486,2348,0.0034377,0.0056079,5347,-12488.589,-11775.354
2471,2454,2281,0.0031932,0.0048867,4330,-12418.444,-11727.728
2420,3017,1916,0.0026191,0.0057158,5279,-12533.689,-11801.294
2352,1975,2201,0.0038447,0.0063086,5006,-12503.72,-11824.379
3124,2570,2487,0.0029057,0.0048684,5052,-12510.346,-11773.29
2618,2551,2197,0.0029662,0.0054484,5158,-12466.731,-11741.147
2579,3750,2847,0.0030177,0.0060174,5396,-12396.662,-11690.924
2432,2369,2163,0.0033668,0.0054225,2407,-12637.97,-11900.549
2477,2155,2087,0.0029248,0.0051722,4675,-12442.939,-11732.306
2389,3468,2429,0.0032822,0.0045914,5416,-12446.408,-11725.925
2286,2919,1849,0.0029545,0.0064635,5526,-12494.93,-11769.931
2208,2427,1982,0.0031959,0.0057869,5398,-12563.515,-11852.234
2264,2675,2473,0.0029486,0.004832,4855,-12565.72,-11862.241
2022,2256,1984,0.003743,0.0054542,3943,-12578.137,-11850.377
2391,2090,2294,0.00314,0.0047902,4620,-12541.4,-11803.049
2064,2893,1784,0.0032883,0.0067142,5476,-12347.266,-11646.988
2176,2762,1689,0.0032475,0.0060709,5056,-12374.306,-11683.086
1808,2005,1721,0.0048557,0.0058898,4305,-12468.274,-11772.07
2349,2982,2121,0.0033767,0.0045648,5928,-12486.06,-11762.528
3225,2421,2472,0.0032182,0.005295,5326,-12411.999,-11748.879
1715,1964,1763,0.004364,0.0064977,3999,-12584.526,-11865.773
2187,2599,1697,0.0033111,0.0060653,4249,-12469.416,-11779.187
2659,2706,2449,0.0031658,0.0038788,4840,-12386.942,-11678.472
2420,2300,2109,0.0027108,0.0055655,5134,-12450.108,-11776.513
2606,3172,3486,0.0025026,0.0044871,5011,-12475.691,-11762.956
2273,2256,1840,0.0031509,0.006386,4976,-12493.57,-11798.656
2874,2882,2411,0.0029283,0.0051565,5951,-12407.41,-11741.56
3012,3019,3040,0.0026785,0.0043285,5700,-12397.998,-11674.759
1855,1769,1582,0.0046801,0.0070877,4368,-12688.153,-11968.09
2380,3290,2108,0.003181,0.0057611,4857,-12403.536,-11692.442
2252,2288,2138,0.0035768,0.0060096,4247,-12433.961,-11712.797
2245,2537,1919,0.0038742,0.0061848,4754,-12465.717,-11795.395
2187,2812,3064,0.0028139,0.0038665,4780,-12565.256,-11849.232
2275,3008,2258,0.0031483,0.0053053,4947,-12462.335,-11739.476
2233,2090,2094,0.0038544,0.0043942,3988,-12412.025,-11691.744
2432,2316,1987,0.0035234,0.0061833,4473,-12432.929,-11694.755
2295,2171,2018,0.0035627,0.0059428,4529,-12538.841,-11831.339
2329,2316,2572,0.0029368,0.0057896,3816,-12565.82,-11828.66
3685,2983,3128,0.0021613,0.0036794,5260,-12293.395,-11625.672
2534,2751,2079,0.003525,0.0045564,5220,-12417.078,-11714.137
1970,2485,2143,0.00335,0.0055281,4431,-12509.227,-11787.496
2499,2310,2258,0.0032918,0.0057647,4992,-12448.572,-11737.393
2032,2322,1818,0.0034298,0.0069039,5349,-12458.069,-11746.286
2010,2370,1961,0.0038263,0.0055269,5183,-12550.964,-11852.871
2438,2469,2497,0.0028936,0.0043963,5043,-12496.497,-11771.172
2196,2268,2080,0.0036339,0.0061661,4589,-12485.663,-11794.978
2621,2382,2482,0.0032073,0.0056366,4194,-12417.483,-11676.055
2103,2452,1836,0.0035605,0.006107,4649,-12490.245,-11753.093
2125,2612,1952,0.0038437,0.0055627,5347,-12558.399,-11843.428
2469,2854,1893,0.0032836,0.0063672,5359,-12472.491,-11774.148
2657,3416,3101,0.0024693,0.0043616,4578,-12377.821,-11645.679
2717,2804,2672,0.0027461,0.0044884,4349,-12448.124,-11713.691
1940,1974,2048,0.0045517,0.0078032,3983,-12503.277,-11786.939
2324,2535,2435,0.0033748,0.0044045,4921,-12536.501,-11800.625
3492,3001,3939,0.0026213,0.0030587,5340,-12380.466,-11667.713
2405,3223,2039,0.0031548,0.0044877,5442,-12484.297,-11753.593
2349,1908,1987,0.0035428,0.0058493,4473,-12545.826,-11830.204
1754,2264,1562,0.0045437,0.0071813,4418,-12450.992,-11787.808
2881,3260,2913,0.0024519,0.0042585,5453,-12298.329,-11621.048
2564,2453,1985,0.0038933,0.0056114,5416,-12467.122,-11750.528
2267,2096,1898,0.0032638,0.0071042,4079,-12492.905,-11758.893
2642,3461,3366,0.0026052,0.0043915,4527,-12365.152,-11660.418
2945,3006,2718,0.0026326,0.0051271,2033,-12426.852,-11710.066
2068,3323,2166,0.003715,0.004909,5588,-12394.708,-11683.796
1794,2793,1912,0.0039221,0.0061215,4737,-12568.689,-11874.216
2995,2130,2435,0.0029862,0.0055524,5416,-12509.487,-11803.392
1987,2974,2640,0.0027965,0.0062983,4498,-12480.483,-11770.376
2520,3037,2346,0.003062,0.0043215,5301,-12433.79,-11724.475
2224,2530,2246,0.0033724,0.0060614,4925,-12452.001,-11736.594
2120,2319,2025,0.0033425,0.0050357,4308,-12554.704,-11794.709
2071,2716,1822,0.0034991,0.0065689,4879,-12430.924,-11759.688
2322,2781,2520,0.0029567,0.0053801,5004,-12445.163,-11747.811
2176,2346,1987,0.0035193,0.0056084,4473,-12398.307,-11693.609
1650,2458,1572,0.0050924,0.0070712,4211,-12433.954,-11729.867
2275,1956,2138,0.0033653,0.0049879,4933,-12518.047,-11788.999
1944,2254,1558,0.0044,0.0067169,5513,-12521.337,-11810.587
2493,2621,2433,0.0033629,0.0047508,4514,-12447.048,-11730.19
2240,2608,2274,0.003117,0.0048204,5198,-12469.858,-11724.22
2581,2424,2051,0.0028294,0.0049965,5500,-12484.708,-11778.861
2317,2791,2462,0.0033412,0.0052367,5493,-12465.357,-11770.876
2403,2967,2455,0.0027895,0.0044803,5672,-12447.227,-11734.318
1815,2380,1611,0.0047988,0.0077755,4313,-12484.402,-11798.013
2349,1967,2640,0.0029816,0.0052897,5056,-12550.008,-11836.785
2803,3621,3168,0.0026922,0.0035523,5614,-12438.762,-11693.06
2193,2699,2075,0.0032425,0.0046083,4857,-12477.445,-11772.209
2213,2730,1723,0.0035133,0.0066632,5061,-12516.738,-11814.646
2015,1807,1505,0.0044112,0.0070441,4139,-12448.127,-11751.144
2838,3580,2281,0.0028687,0.0044356,5793,-12418.491,-11718.426
2638,3099,2271,0.0031117,0.0047357,5199,-12414.581,-11727.917
2389,2602,1909,0.00356,0.0061854,5552,-12507.628,-11795.968
